Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1778073191,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778073192,30,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778073193,90,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1778073194,120,,Aggregated,0.000000,0.000000,2100,2100,2100,2100,2100,2900,2900,2900,2900,2900,2900,19,0,2100.0,2034.4966578811996,819.2449000198394,2857.021400006488,24.42105263157895
1778073195,150,,Aggregated,0.000000,0.000000,2100,2100,2100,2100,2100,2900,2900,2900,2900,2900,2900,19,0,2100.0,2034.4966578811996,819.2449000198394,2857.021400006488,24.42105263157895
1778073196,180,,Aggregated,0.000000,0.000000,2100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,31,12,2100.0,2827.1565451549604,819.2449000198394,4088.610199978575,14.96774193548387
1778073197,200,,Aggregated,4.750000,0.000000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,63,42,4100.0,3453.1697333284046,819.2449000198394,4104.1757999919355,12.936507936507937
1778073198,200,,Aggregated,4.750000,0.000000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,93,72,4100.0,3652.1518559092456,819.2449000198394,4104.1757999919355,8.763440860215054
1778073199,200,,Aggregated,6.200000,2.400000,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,123,102,4100.0,3764.090239019247,819.2449000198394,4124.790099915117,6.626016260162602
1778073200,200,,Aggregated,13.285714,10.285714,4100,4100,4100,4100,4100,4100,4100,4200,4200,4200,4200,174,153,4100.0,3864.8785626396652,819.2449000198394,4150.205299956724,4.683908045977011
